Earth
21-08-1977,1.285448830612052E08,-7.986345695704521E07,1.522773970118584E01,2.520063473434745E01
22-08-1977,1.298420348764958E08,-7.767490967321840E07,1.479825790448037E01,2.545892085172685E01
23-08-1977,1.311019105739720E08,-7.546437235918227E07,1.436490494036379E01,2.570967610129426E01
24-08-1977,1.323241850216188E08,-7.323249184244601E07,1.392788960471663E01,2.595299473506674E01
25-08-1977,1.335085490704406E08,-7.097990560524429E07,1.348737139472064E01,2.618899644627972E01
26-08-1977,1.346547049224513E08,-6.870724027195221E07,1.304345272560039E01,2.641780974539641E01
27-08-1977,1.357623610875060E08,-6.641511170218343E07,1.259617767512633E01,2.663955179934781E01
28-08-1977,1.368312275994648E08,-6.410412686312966E07,1.214553945067905E01,2.685430814114248E01
29-08-1977,1.378610122563758E08,-6.177488728787534E07,1.169149630863182E01,2.706211706600666E01
30-08-1977,1.388514184865544E08,-5.942799352475233E07,1.123399246563094E01,2.726296277763082E01
31-08-1977,1.398021450440620E08,-5.706404974639352E07,1.077297860171829E01,2.745677843214292E01
01-09-1977,1.407128872765628E08,-5.468366774055181E07,1.030842712511233E01,2.764345679083411E01
02-09-1977,1.415833393927082E08,-5.228746980442833E07,9.840339920060211E00,2.782286418229786E01
03-09-1977,1.424131970862311E08,-4.987609044426984E07,9.368749140740965E00,2.799485360670396E01
04-09-1977,1.432021600085686E08,-4.745017708061445E07,8.893713364744443E00,2.815927437183137E01
05-09-1977,1.439499338063904E08,-4.501039010586976E07,8.415311788888911E00,2.831597743867901E01
06-09-1977,1.446562316541091E08,-4.255740265265483E07,7.933638642960958E00,2.846481691095330E01
07-09-1977,1.453207753670695E08,-4.009190036386930E07,7.448799249516199E00,2.860564870040031E01
08-09-1977,1.459432962764164E08,-3.761458135670730E07,6.960908543574507E00,2.873832757814081E01
09-09-1977,1.465235360978316E08,-3.512615646595730E07,6.470092448399124E00,2.886270387477532E01
10-09-1977,1.470612480454510E08,-3.262734973899144E07,5.976492147999799E00,2.897862119424917E01
11-09-1977,1.475561984260289E08,-3.011889903049754E07,5.480270799501893E00,2.908591665098010E01
12-09-1977,1.480081688772719E08,-2.760155641304451E07,4.981621444725888E00,2.918442512180435E01
13-09-1977,1.484169592645440E08,-2.507608800848881E07,4.480773884601438E00,2.927398847727023E01
14-09-1977,1.487823910194851E08,-2.254327281288080E07,3.977997506324856E00,2.935446943749109E01
15-09-1977,1.491043104419869E08,-2.000390020048822E07,3.473597225391750E00,2.942576773394700E01
16-09-1977,1.493825913022450E08,-1.745876607496611E07,2.967901357903514E00,2.948783449450165E01
17-09-1977,1.496171360934463E08,-1.490866801708131E07,2.461243025521193E00,2.954068043267925E01
18-09-1977,1.498078755412460E08,-1.235440009972869E07,1.953939216521225E00,2.958437514751972E01
19-09-1977,1.499547663797587E08,-9.796748146841118E06,1.446272338704234E00,2.961903785659163E01
20-09-1977,1.500577877717693E08,-7.236486065127579E06,9.384776446580045E-01,2.964482243402968E01
Jupiter
21-08-1977,1.227976487451390E08,7.518210576902237E08,-1.306258719885187E01,2.716903022476491E00
22-08-1977,1.216689977655685E08,7.520549450721899E08,-1.306433926555526E01,2.698027883137835E00
23-08-1977,1.205400563907676E08,7.522871572383276E08,-1.306735126314336E01,2.676845320690878E00
24-08-1977,1.194109953115609E08,7.525176900861702E08,-1.306971529136616E01,2.659780823847929E00
25-08-1977,1.182815924595897E08,7.527466146127207E08,-1.307291682866970E01,2.639662702806005E00
26-08-1977,1.171519051540798E08,7.529739130901299E08,-1.307798230335164E01,2.620818226177795E00
27-08-1977,1.160218824600337E08,7.531993954377154E08,-1.307931657141174E01,2.599917437881583E00
28-08-1977,1.148916535728844E08,7.534232303935745E08,-1.308342571808346E01,2.580315649790080E00
29-08-1977,1.137612089303326E08,7.536453074586720E08,-1.308477911369148E01,2.561404858462765E00
30-08-1977,1.126304954650424E08,7.538657473346446E08,-1.308812143057837E01,2.540656482395483E00
31-08-1977,1.114996593447348E08,7.540845006394266E08,-1.308996106884206E01,2.523631179334913E00
01-09-1977,1.103684896887148E08,7.543016811214004E08,-1.309352942244424E01,2.503650206820343E00
02-09-1977,1.092370379310622E08,7.545172365680923E08,-1.309844706857555E01,2.485223109699055E00
03-09-1977,1.081052139379226E08,7.547309901876116E08,-1.310023467723179E01,2.463799049411208E00
04-09-1977,1.069731907077984E08,7.549430686259594E08,-1.310434210982806E01,2.444329224513640E00
05-09-1977,1.058409319749973E08,7.551533616543298E08,-1.310553498751214E01,2.424702557330317E00
06-09-1977,1.047084278120726E08,7.553619962006855E08,-1.310903703507443E01,2.403847475197600E00
07-09-1977,1.035758107236227E08,7.555688873316818E08,-1.311007474054827E01,2.386177261317459E00
08-09-1977,1.024429107127639E08,7.557741967152680E08,-1.311348973353649E01,2.366029370235399E00
09-09-1977,1.013097777194691E08,7.559778546854271E08,-1.311755207649803E01,2.347749673815259E00
10-09-1977,1.001762964619449E08,7.561797255065246E08,-1.311924290381714E01,2.325958069527442E00
11-09-1977,9.904267311741723E07,7.563799048856143E08,-1.312266540212326E01,2.306885540138124E00
12-09-1977,9.790883888326059E07,7.565783109266102E08,-1.312337562759803E01,2.287015794430258E00
13-09-1977,9.677481321767177E07,7.567750811092287E08,-1.312672747739939E01,2.266745327946521E00
14-09-1977,9.564068765969920E07,7.569701106458104E08,-1.312706911005828E01,2.248973690350535E00
15-09-1977,9.450632225052801E07,7.571636001795912E08,-1.313055614279444E01,2.229348113602650E00
16-09-1977,9.337173812436694E07,7.573554573943028E08,-1.313416954414192E01,2.211574167992835E00
